latex	unicode
\bNot	U+2AED
\backcong	U+224C
\backdprime	U+2036
\backepsilon	U+3F6
\backprime	U+2035
\backsim	U+223D
\backsimeq	U+22CD
\backslash	U+5C
\backtrprime	U+2037
\bagmember	U+22FF
\ballotx	U+2717
\bar	U+304
\barcap	U+2A43
\barcup	U+2A42
\barin	U+22F6
\barleftarrowrightarrowba	U+21B9
\barleftharpoon	U+296B
\barovernorthwestarrow	U+21B8
\barrightarrowdiamond	U+2920
\barrightharpoon	U+296D
\barvee	U+22BD
\barwedge	U+22BC
\bbrktbrk	U+23B6
\bdtriplevdash	U+2506
\because	U+2235
\benzenr	U+23E3
\beta	U+3B2
\beth	U+2136
\between	U+226C
\bigblacktriangledown	U+25BC
\bigblacktriangleup	U+25B2
\bigbot	U+27D8
\bigcap	U+22C2
\bigcup	U+22C3
\bigcupdot	U+2A03
\biginterleave	U+2AFC
\bigodot	U+2A00
\bigoplus	U+2A01
\bigotimes	U+2A02
\bigslopedvee	U+2A57
\bigslopedwedge	U+2A58
\bigsqcap	U+2A05
\bigsqcup	U+2A06
\bigstar	U+2605
\bigtalloblong	U+2AFF
\bigtop	U+27D9
\bigtriangledown	U+25BD
\bigtriangleleft	U+2A1E
\bigtriangleup	U+25B3
\biguplus	U+2A04
\bigvee	U+22C1
\bigwedge	U+22C0
\bigwhitestar	U+2606
\bij	U+2916
\biohazard	U+2623
\blackcircledownarrow	U+29ED
\blackcircledrightdot	U+2688
\blackcircledtwodots	U+2689
\blackcircleulquadwhite	U+25D5
\blackdiamonddownarrow	U+29EA
\blackhourglass	U+29D7
\blackinwhitediamond	U+25C8
\blackinwhitesquare	U+25A3
\blacklozenge	U+29EB
\blackpointerleft	U+25C4
\blackpointerright	U+25BA
\blacksmiley	U+263B
\blacksquare	U+25FC
\blacktriangledown	U+25BE
\blacktriangleleft	U+25C2
\blacktriangleright	U+25B8
\blacktriangleup	U+25B4
\blkhorzoval	U+2B2C
\blkvertoval	U+2B2E
\blockfull	U+2588
\blockhalfshaded	U+2592
\blocklefthalf	U+258C
\blocklowhalf	U+2584
\blockqtrshaded	U+2591
\blockrighthalf	U+2590
\blockthreeqtrshaded	U+2593
\blockuphalf	U+2580
\bot	U+22A5
\botsemicircle	U+25E1
\bowtie	U+22C8
\boxast	U+29C6
\boxbar	U+25EB
\boxbox	U+29C8
\boxbslash	U+29C5
\boxcircle	U+29C7
\boxdot	U+22A1
\boxminus	U+229F
\boxonbox	U+29C9
\boxplus	U+229E
\boxslash	U+29C4
\boxtimes	U+22A0
\breve	U+306
\bsimilarleftarrow	U+2B41
\bsimilarrightarrow	U+2B47
\bsolhsub	U+27C8
\btimes	U+2A32
\bullet	U+2022
\bullseye	U+25CE
\bumpeq	U+224F
\bumpeqq	U+2AAE
\cancer	U+264B
\candra	U+310
\cap	U+2229
\capbarcup	U+2A49
\capdot	U+2A40
\capovercup	U+2A47
\capricornus	U+2651
\capwedge	U+2A44
\caretinsert	U+2038
\carriagereturn	U+21B5
\cat	U+2040
\ccwundercurvearrow	U+293F
\cdot	U+22C5
\cdotp	U+B7
\cdots	U+22EF
\celsius	U+2103
\cent	U+A2
\check	U+30C
\checkmark	U+2713
\chi	U+3C7
\cirE	U+29C3
\cirbot	U+27DF
\circ	U+2218
\circeq	U+2257
\circlearrowleft	U+21BA
\circlearrowright	U+21BB
\circlebottomhalfblack	U+25D2
\circledR	U+AE
\circledast	U+229B
\circledbslash	U+29B8
\circledbullet	U+29BF
\circledcirc	U+229A
\circleddash	U+229D
\circledequal	U+229C
\circledgtr	U+29C1
\circledless	U+29C0
\circledownarrow	U+29EC
\circledparallel	U+29B7
\circledrightdot	U+2686
\circledstar	U+272A
\circledtwodots	U+2687
\circledvert	U+29B6
\circledwhitebullet	U+29BE
\circlehbar	U+29B5
\circlellquad	U+25F5
\circlelrquad	U+25F6
\circleonleftarrow	U+2B30
\circleonrightarrow	U+21F4
\circletophalfblack	U+25D3
\circleulquad	U+25F4
\circleurquad	U+25F7
\circleurquadblack	U+25D4
\circlevertfill	U+25CD
\cirfnint	U+2A10
\cirmid	U+2AEF
\cirscir	U+29C2
\closedvarcap	U+2A4D
\closedvarcup	U+2A4C
\closedvarcupsmashprod	U+2A50
\closure	U+2050
\clubsuit	U+2663
\coloneq	U+2254
\commaminus	U+2A29
\complement	U+2201
\concavediamond	U+27E1
\concavediamondtickleft	U+27E2
\concavediamondtickright	U+27E3
\cong	U+2245
\congdot	U+2A6D
\conictaper	U+2332
\conjquant	U+2A07
\coprod	U+2210
\copyright	U+A9
\corresponds	U+2259
\csub	U+2ACF
\csube	U+2AD1
\csup	U+2AD0
\csupe	U+2AD2
\cup	U+222A
\cupbarcap	U+2A48
\cupdot	U+228D
\cupleftarrow	U+228C
\cupovercap	U+2A46
\cupvee	U+2A45
\curlyeqprec	U+22DE
\curlyeqsucc	U+22DF
\curlyvee	U+22CE
\curlywedge	U+22CF
\curvearrowleft	U+21B6
\curvearrowleftplus	U+293D
\curvearrowright	U+21B7
\curvearrowrightminus	U+293C
\cwcirclearrow	U+2941
\cwgapcirclearrow	U+27F3
\cwrightarcarrow	U+2938
\cwundercurvearrow	U+293E
\dagger	U+2020
\daleth	U+2138
\danger	U+2621
\dashV	U+2AE3
\dashVdash	U+27DB
\dashleftarrow	U+21E0
\dashrightarrow	U+21E2
\dashv	U+22A3
\dbkarow	U+290F
\ddagger	U+2021
\ddddot	U+20DC
\dddot	U+20DB
\ddot	U+308
\ddots	U+22F1
\ddotseq	U+2A77
\delta	U+3B4
\diameter	U+2300
\diamond	U+22C4
\diamondbotblack	U+2B19
\diamondleftarrow	U+291D
\diamondleftarrowbar	U+291F
\diamondleftblack	U+2B16
\diamondrightblack	U+2B17
\diamondsuit	U+2662
\diamondtopblack	U+2B18
\dicei	U+2680
\diceii	U+2681
\diceiii	U+2682
\diceiv	U+2683
\dicev	U+2684
\dicevi	U+2685
\digamma	U+3DD
\dingasterisk	U+273D
\disin	U+22F2
\disjquant	U+2A08
\div	U+F7
\divideontimes	U+22C7
\dlsh	U+21B2
\dot	U+307
\doteq	U+2250
\dotequiv	U+2A67
\dotminus	U+2238
\dotplus	U+2214
\dots	U+22EF
\dotsim	U+2A6A
\dotsminusdots	U+223A
\dottedcircle	U+25CC
\dottedsquare	U+2B1A
\dottimes	U+2A30
\doublebarvee	U+2A62
\doublebarwedge	U+2A5E
\doubleplus	U+29FA
\downarrow	U+2193
\downarrowbarred	U+2908
\downdasharrow	U+21E3
\downdownarrows	U+21CA
\downdownharpoons	U+2965
\downfishtail	U+297F
\downharpoonleft	U+21C3
\downharpoonright	U+21C2
\downrightcurvedarrow	U+2935
\downtriangleleftblack	U+29E8
\downtrianglerightblack	U+29E9
\downuparrows	U+21F5
\downupharpoons	U+296F
\downwhitearrow	U+21E9
\draftingarrow	U+279B
\drbkarow	U+2910
\droang	U+31A
\drsh	U+21B3
\dsol	U+29F6
\dsub	U+2A64
\earth	U+2641
\egsdot	U+2A98
\eighthnote	U+266A
\elinters	U+23E7
\ell	U+2113
\elsdot	U+2A97
\emptysetoarr	U+29B3
\emptysetoarrl	U+29B4
\emptysetobar	U+29B1
\emptysetocirc	U+29B2
\enclosecircle	U+20DD
\enclosediamond	U+20DF
\enclosesquare	U+20DE
\enclosetriangle	U+20E4
\enleadertwodots	U+2025
\eparsl	U+29E3
\epsilon	U+3F5
\eqcirc	U+2256
\eqcolon	U+2239
\eqdef	U+225D
\eqdot	U+2A66
\eqgtr	U+22DD
\eqless	U+22DC
\eqqgtr	U+2A9A
\eqqless	U+2A99
\eqqplus	U+2A71
\eqqsim	U+2A73
\eqqslantgtr	U+2A9C
\eqqslantless	U+2A9B
\eqsim	U+2242
\eqslantgtr	U+2A96
\eqslantless	U+2A95
\equalleftarrow	U+2B40
\equalrightarrow	U+2971
\equiv	U+2261
\equivDD	U+2A78
\equivVert	U+2A68
\equivVvert	U+2A69
\eqvparsl	U+29E5
\errbarblackcircle	U+29F3
\errbarblackdiamond	U+29F1
\errbarblacksquare	U+29EF
\errbarcircle	U+29F2
\errbardiamond	U+29F0
\errbarsquare	U+29EE
\eta	U+3B7
\eth	U+F0
\euro	U+20AC
\exists	U+2203
\fallingdotseq	U+2252
\fbowtie	U+29D3
\fcmp	U+2A3E
\fdiagovnearrow	U+292F
\fdiagovrdiag	U+292C
\female	U+2640
\ffun	U+21FB
\finj	U+2915
\fint	U+2A0F
\fisheye	U+25C9
\flat	U+266D
\fltns	U+23E5
\forall	U+2200
\forks	U+2ADC
\forksnot	U+2ADD
\forkv	U+2AD9
\fourth	U+2057
\fourvdots	U+2999
\fracslash	U+2044
\frown	U+2322
\frownie	U+2639
\fullouterjoin	U+27D7
\gamma	U+3B3
\gemini	U+264A
\geq	U+2265
\geqq	U+2267
\geqqslant	U+2AFA
\geqslant	U+2A7E
\gescc	U+2AA9
\gesdot	U+2A80
\gesdoto	U+2A82
\gesdotol	U+2A84
\gesles	U+2A94
\gg	U+226B
\ggcurly	U+2ABC
\ggg	U+22D9
\gggnest	U+2AF8
\gimel	U+2137
\glE	U+2A92
\gla	U+2AA5
\gleichstark	U+29E6
\glj	U+2AA4
\gnapprox	U+2A8A
\gneq	U+2A88
\gneqq	U+2269
\gnsim	U+22E7
\grave	U+300
\gsime	U+2A8E
\gsiml	U+2A90
\gtcir	U+2A7A
\gtlpar	U+29A0
\gtquest	U+2A7C
\gtrapprox	U+2A86
\gtrarr	U+2978
\gtrdot	U+22D7
\gtreqless	U+22DB
\gtreqqless	U+2A8C
\gtrless	U+2277
\gtrsim	U+2273
\guillemotleft	U+AB
\guillemotright	U+BB
\harrowextender	U+23AF
\hash	U+22D5
\hat	U+302
\hatapprox	U+2A6F
\heartsuit	U+2661
\hermitmatrix	U+22B9
\hexagon	U+2394
\hexagonblack	U+2B23
\hknearrow	U+2924
\hknwarrow	U+2923
\hksearow	U+2925
\hkswarow	U+2926
\hookleftarrow	U+21A9
\hookrightarrow	U+21AA
\horizbar	U+2015
\hourglass	U+29D6
\house	U+2302
\hrectangle	U+25AD
\hrectangleblack	U+25AC
\hslash	U+210F
\hyphenbullet	U+2043
\hzigzag	U+3030
\iddots	U+22F0
\iiiint	U+2A0C
\iiint	U+222D
\iinfin	U+29DC
\iint	U+222C
\imath	U+131
\in	U+2208
\increment	U+2206
\infty	U+221E
\int	U+222B
\intBar	U+2A0E
\intbar	U+2A0D
\intbottom	U+2321
\intcap	U+2A19
\intclockwise	U+2231
\intcup	U+2A1A
\intercal	U+22BA
\interleave	U+2AF4
\intextender	U+23AE
\intlarhk	U+2A17
\intprod	U+2A3C
\intprodr	U+2A3D
\inttop	U+2320
\intx	U+2A18
\invamp	U+214B
\invdiameter	U+2349
\inversebullet	U+25D8
\inversewhitecircle	U+25D9
\invlazys	U+223E
\invneg	U+2310
\invwhitelowerhalfcircle	U+25DB
\invwhiteupperhalfcircle	U+25DA
\iota	U+3B9
\isinE	U+22F9
\isindot	U+22F5
\isinobar	U+22F7
\isins	U+22F4
\isinvb	U+22F8
\jmath	U+237
\jupiter	U+2643
\kappa	U+3BA
\kernelcontraction	U+223B
\koppa	U+3DF
\lBrace	U+2983
\lambda	U+3BB
\lang	U+27EA
\langle	U+27E8
\langledot	U+2991
\laplac	U+29E0
\lat	U+2AAB
\late	U+2AAD
\lblkbrbrak	U+2997
\lblot	U+2989
\lbracelend	U+23A9
\lbracemid	U+23A8
\lbraceuend	U+23A7
\lbrack	U+5B
\lbrackextender	U+23A2
\lbracklend	U+23A3
\lbracklltick	U+298F
\lbrackubar	U+298B
\lbrackuend	U+23A1
\lbrackultick	U+298D
\lbrbrak	U+2772
\lceil	U+2308
\lcurvyangle	U+29FC
\ldots	U+2026
\leadsto	U+2933
\leftarrow	U+2190
\leftarrowapprox	U+2B4A
\leftarrowbackapprox	U+2B42
\leftarrowbsimilar	U+2B4B
\leftarrowless	U+2977
\leftarrowonoplus	U+2B32
\leftarrowplus	U+2946
\leftarrowshortrightarrow	U+2943
\leftarrowsimilar	U+2973
\leftarrowsubset	U+297A
\leftarrowtail	U+21A2
\leftarrowtriangle	U+21FD
\leftarrowx	U+2B3E
\leftbarharpoon	U+296A
\leftbkarrow	U+290C
\leftcurvedarrow	U+2B3F
\leftdbkarrow	U+290E
\leftdbltail	U+291B
\leftdotarrow	U+2B38
\leftdowncurvedarrow	U+2936
\leftharpoondown	U+21BD
\leftharpoonup	U+21BC
\leftleftarrows	U+21C7
\leftleftharpoons	U+2962
\leftmoon	U+263E
\leftouterjoin	U+27D5
\leftrightarrow	U+2194
\leftrightarrowcircle	U+2948
\leftrightarrows	U+21C6
\leftrightarrowtriangle	U+21FF
\leftrightharpoon	U+294A
\leftrightharpoondown	U+2950
\leftrightharpoons	U+21CB
\leftrightharpoonsdown	U+2967
\leftrightharpoonsup	U+2966
\leftrightharpoonup	U+294E
\leftrightsquigarrow	U+21AD
\leftslice	U+2AA6
\leftsquigarrow	U+21DC
\lefttail	U+2919
\leftthreearrows	U+2B31
\leftthreetimes	U+22CB
\leftupdownharpoon	U+2951
\leftwavearrow	U+219C
\leftwhitearrow	U+21E6
\leo	U+264C
\leq	U+2264
\leqq	U+2266
\leqqslant	U+2AF9
\leqslant	U+2A7D
\lescc	U+2AA8
\lesdot	U+2A7F
\lesdoto	U+2A81
\lesdotor	U+2A83
\lesges	U+2A93
\lessapprox	U+2A85
\lessdot	U+22D6
\lesseqgtr	U+22DA
\lesseqqgtr	U+2A8B
\lessgtr	U+2276
\lesssim	U+2272
\lfbowtie	U+29D1
\lfloor	U+230A
\lftimes	U+29D4
\lgE	U+2A91
\lgblkcircle	U+2B24
\lgroup	U+27EE
\lgwhtcircle	U+25EF
\lhd	U+25C1
\libra	U+264E
\lightning	U+21AF
\limg	U+2987
\linefeed	U+21B4
\ll	U+226A
\llarc	U+25DF
\llblacktriangle	U+25E3
\llbracket	U+27E6
\llcorner	U+231E
\llcurly	U+2ABB
\lll	U+22D8
\lllnest	U+2AF7
\lltriangle	U+25FA
\lmoustache	U+23B0
\lnapprox	U+2A89
\lneq	U+2A87
\lneqq	U+2268
\lnsim	U+22E6
\longdashv	U+27DE
\longdivision	U+27CC
\longleftarrow	U+27F5
\longleftrightarrow	U+27F7
\longleftsquigarrow	U+2B33
\longmapsfrom	U+27FB
\longmapsto	U+27FC
\longrightarrow	U+27F6
\longrightsquigarrow	U+27FF
\looparrowleft	U+21AB
\looparrowright	U+21AC
\lowint	U+2A1C
\lozenge	U+25CA
\lozengeminus	U+27E0
\lparenextender	U+239C
\lparenlend	U+239D
\lparenless	U+2993
\lparenuend	U+239B
\lrarc	U+25DE
\lrblacktriangle	U+25E2
\lrcorner	U+231F
\lrtriangle	U+25FF
\lrtriangleeq	U+29E1
\lsime	U+2A8D
\lsimg	U+2A8F
\lsqhook	U+2ACD
\ltcir	U+2A79
\ltimes	U+22C9
\ltlarr	U+2976
\ltquest	U+2A7B
\lvboxline	U+23B8
\lvec	U+20D0
\lvzigzag	U+29D8
\male	U+2642
\maltese	U+2720
\mapsfrom	U+21A4
\mapsto	U+21A6
\mathbb{0}	U+1D7D8
\mathbb{1}	U+1D7D9
\mathbb{2}	U+1D7DA
\mathbb{3}	U+1D7DB
\mathbb{4}	U+1D7DC
\mathbb{5}	U+1D7DD
\mathbb{6}	U+1D7DE
\mathbb{7}	U+1D7DF
\mathbb{8}	U+1D7E0
\mathbb{9}	U+1D7E1
\mathbb{A}	U+1D538
\mathbb{B}	U+1D539
\mathbb{C}	U+2102
\mathbb{D}	U+1D53B
\mathbb{E}	U+1D53C
\mathbb{F}	U+1D53D
\mathbb{G}	U+1D53E
\mathbb{H}	U+210D
\mathbb{I}	U+1D540
\mathbb{J}	U+1D541
\mathbb{K}	U+1D542
\mathbb{L}	U+1D543
\mathbb{M}	U+1D544
\mathbb{N}	U+2115
\mathbb{O}	U+1D546
\mathbb{P}	U+2119
\mathbb{Q}	U+211A
\mathbb{R}	U+211D
\mathbb{S}	U+1D54A
\mathbb{T}	U+1D54B
\mathbb{U}	U+1D54C
\mathbb{V}	U+1D54D
\mathbb{W}	U+1D54E
\mathbb{X}	U+1D54F
\mathbb{Y}	U+1D550
\mathbb{Z}	U+2124
\mathbb{\Gamma}	U+213E
\mathbb{\Pi}	U+213F
\mathbb{\Sigma}	U+2140
\mathbb{\gamma}	U+213D
\mathbb{\pi}	U+213C
\mathbb{a}	U+1D552
\mathbb{b}	U+1D553
\mathbb{c}	U+1D554
\mathbb{d}	U+1D555
\mathbb{e}	U+1D556
\mathbb{f}	U+1D557
\mathbb{g}	U+1D558
\mathbb{h}	U+1D559
\mathbb{i}	U+1D55A
\mathbb{j}	U+1D55B
\mathbb{k}	U+1D55C
\mathbb{l}	U+1D55D
\mathbb{m}	U+1D55E
\mathbb{n}	U+1D55F
\mathbb{o}	U+1D560
\mathbb{p}	U+1D561
\mathbb{q}	U+1D562
\mathbb{r}	U+1D563
\mathbb{s}	U+1D564
\mathbb{t}	U+1D565
\mathbb{u}	U+1D566
\mathbb{v}	U+1D567
\mathbb{w}	U+1D568
\mathbb{x}	U+1D569
\mathbb{y}	U+1D56A
\mathbb{z}	U+1D56B
\mathbfit{A}	U+1D468
\mathbfit{B}	U+1D469
\mathbfit{C}	U+1D46A
\mathbfit{D}	U+1D46B
\mathbfit{E}	U+1D46C
\mathbfit{F}	U+1D46D
\mathbfit{G}	U+1D46E
\mathbfit{H}	U+1D46F
\mathbfit{I}	U+1D470
\mathbfit{J}	U+1D471
\mathbfit{K}	U+1D472
\mathbfit{L}	U+1D473
\mathbfit{M}	U+1D474
\mathbfit{N}	U+1D475
\mathbfit{O}	U+1D476
\mathbfit{P}	U+1D477
\mathbfit{Q}	U+1D478
\mathbfit{R}	U+1D479
\mathbfit{S}	U+1D47A
\mathbfit{T}	U+1D47B
\mathbfit{U}	U+1D47C
\mathbfit{V}	U+1D47D
\mathbfit{W}	U+1D47E
\mathbfit{X}	U+1D47F
\mathbfit{Y}	U+1D480
\mathbfit{Z}	U+1D481
\mathbfit{\Delta}	U+1D71F
\mathbfit{\Gamma}	U+1D71E
\mathbfit{\Lambda}	U+1D726
\mathbfit{\Omega}	U+1D734
\mathbfit{\Phi}	U+1D731
\mathbfit{\Pi}	U+1D72B
\mathbfit{\Psi}	U+1D733
\mathbfit{\Sigma}	U+1D72E
\mathbfit{\Theta}	U+1D723
\mathbfit{\Upsilon}	U+1D730
\mathbfit{\Xi}	U+1D729
\mathbfit{\alpha}	U+1D736
\mathbfit{\beta}	U+1D737
\mathbfit{\chi}	U+1D74C
\mathbfit{\delta}	U+1D739
\mathbfit{\epsilon}	U+1D750
\mathbfit{\eta}	U+1D73C
\mathbfit{\gamma}	U+1D738
\mathbfit{\iota}	U+1D73E
\mathbfit{\kappa}	U+1D73F
\mathbfit{\lambda}	U+1D740
\mathbfit{\mu}	U+1D741
\mathbfit{\nu}	U+1D742
\mathbfit{\omega}	U+1D74E
\mathbfit{\phi}	U+1D753
\mathbfit{\pi}	U+1D745
\mathbfit{\psi}	U+1D74D
\mathbfit{\rho}	U+1D746
\mathbfit{\sigma}	U+1D748
\mathbfit{\tau}	U+1D749
\mathbfit{\theta}	U+1D73D
\mathbfit{\upsilon}	U+1D74A
\mathbfit{\varepsilon}	U+1D73A
\mathbfit{\varphi}	U+1D74B
\mathbfit{\varpi}	U+1D755
\mathbfit{\varrho}	U+1D754
\mathbfit{\varsigma}	U+1D747
\mathbfit{\vartheta}	U+1D751
\mathbfit{\xi}	U+1D743
\mathbfit{\zeta}	U+1D73B
\mathbfit{a}	U+1D482
\mathbfit{b}	U+1D483
\mathbfit{c}	U+1D484
\mathbfit{d}	U+1D485
\mathbfit{e}	U+1D486
\mathbfit{f}	U+1D487
\mathbfit{g}	U+1D488
\mathbfit{h}	U+1D489
\mathbfit{i}	U+1D48A
\mathbfit{j}	U+1D48B
\mathbfit{k}	U+1D48C
\mathbfit{l}	U+1D48D
\mathbfit{m}	U+1D48E
\mathbfit{n}	U+1D48F
\mathbfit{o}	U+1D490
\mathbfit{p}	U+1D491
\mathbfit{q}	U+1D492
\mathbfit{r}	U+1D493
\mathbfit{s}	U+1D494
\mathbfit{t}	U+1D495
\mathbfit{u}	U+1D496
\mathbfit{v}	U+1D497
\mathbfit{w}	U+1D498
\mathbfit{x}	U+1D499
\mathbfit{y}	U+1D49A
\mathbfit{z}	U+1D49B
\mathbf{0}	U+1D7CE
\mathbf{1}	U+1D7CF
\mathbf{2}	U+1D7D0
\mathbf{3}	U+1D7D1
\mathbf{4}	U+1D7D2
\mathbf{5}	U+1D7D3
\mathbf{6}	U+1D7D4
\mathbf{7}	U+1D7D5
\mathbf{8}	U+1D7D6
\mathbf{9}	U+1D7D7
\mathbf{A}	U+1D400
\mathbf{B}	U+1D401
\mathbf{C}	U+1D402
\mathbf{D}	U+1D403
\mathbf{E}	U+1D404
\mathbf{F}	U+1D405
\mathbf{G}	U+1D406
\mathbf{H}	U+1D407
\mathbf{I}	U+1D408
\mathbf{J}	U+1D409
\mathbf{K}	U+1D40A
\mathbf{L}	U+1D40B
\mathbf{M}	U+1D40C
\mathbf{N}	U+1D40D
\mathbf{O}	U+1D40E
\mathbf{P}	U+1D40F
\mathbf{Q}	U+1D410
\mathbf{R}	U+1D411
\mathbf{S}	U+1D412
\mathbf{T}	U+1D413
\mathbf{U}	U+1D414
\mathbf{V}	U+1D415
\mathbf{W}	U+1D416
\mathbf{X}	U+1D417
\mathbf{Y}	U+1D418
\mathbf{Z}	U+1D419
\mathbf{\Delta}	U+1D6AB
\mathbf{\Gamma}	U+1D6AA
\mathbf{\Lambda}	U+1D6B2
\mathbf{\Omega}	U+1D6C0
\mathbf{\Phi}	U+1D6BD
\mathbf{\Pi}	U+1D6B7
